"Feed Name","Price, Per Month",Source Name,Last Update,Remote Name,Local Name
newsmonster,"44,54 €",News Monster,1483820220,/mirror/nm/newsmonster.tgz,/r/nm.tgz
microtech,"33,07 €",MicroTech Industries (TODO: Inc.? LLC?),1483820232,/dl/mtech.tar.gz,/r/mt.tgz
fastniche,"7 095,61 €",Fast Niche® Markets,1483820247,/site/fastniche.zip,/r/fn.tgz
pivotsense,"43 333,79 €",Pivotal Sense (ltd.),1483820006,/dl area/pivotsense.tgz,/r/ps.tgz
woldenheim,"11,77 €",Woldenheim GmbH,1483817526,/woldenheim/db-new.zip,/r/wh.tgz
aaa,"11,77 €"
woldenheim,"11,77 €",Woldenheim GmbH
newsmonster,"44,54 €",News Monster,1483820220,/mirror/nm/newsmonster.tgz,/r/nm.tgz
microtech,"33,07 €",MicroTech Industries (TODO: Inc.? LLC?),1483820232,/dl/mtech.tar.gz,/r/mt.tgz
fastniche,"7 095,61 €",Fast Niche® Markets,1483820247,/site/fastniche.zip,/r/fn.tgz
pivotsense,"43 333,79 €",Pivotal Sense (ltd.),1483820006,/dl area/pivotsense.tgz,/r/ps.tgz
woldenheim,"11,77 €",Woldenheim GmbH,1483817526,/woldenheim/db-new.zip,/r/wh.tgz
aaa,"11,77 €"
woldenheim,"11,77 €",Woldenheim GmbH
newsmonster,"44,54 €",News Monster,1483820220,/mirror/nm/newsmonster.tgz,/r/nm.tgz
microtech,"33,07 €",MicroTech Industries (TODO: Inc.? LLC?),1483820232,/dl/mtech.tar.gz,/r/mt.tgz
fastniche,"7 095,61 €",Fast Niche® Markets,1483820247,/site/fastniche.zip,/r/fn.tgz
pivotsense,"43 333,79 €",Pivotal Sense (ltd.),1483820006,/dl area/pivotsense.tgz,/r/ps.tgz
woldenheim,"11,77 €",Woldenheim GmbH,1483817526,/woldenheim/db-new.zip,/r/wh.tgz
aaa,"11,77 €"
woldenheim,"11,77 €",Woldenheim GmbH
newsmonster,"44,54 €",News Monster,1483820220,/mirror/nm/newsmonster.tgz,/r/nm.tgz
microtech,"33,07 €",MicroTech Industries (TODO: Inc.? LLC?),1483820232,/dl/mtech.tar.gz,/r/mt.tgz
fastniche,"7 095,61 €",Fast Niche® Markets,1483820247,/site/fastniche.zip,/r/fn.tgz
pivotsense,"43 333,79 €",Pivotal Sense (ltd.),1483820006,/dl area/pivotsense.tgz,/r/ps.tgz
woldenheim,"11,77 €",Woldenheim GmbH,1483817526,/woldenheim/db-new.zip,/r/wh.tgz
aaa,"11,77 €"
woldenheim,"11,77 €",Woldenheim GmbH
newsmonster,"44,54 €",News Monster,1483820220,/mirror/nm/newsmonster.tgz,/r/nm.tgz
microtech,"33,07 €",MicroTech Industries (TODO: Inc.? LLC?),1483820232,/dl/mtech.tar.gz,/r/mt.tgz
fastniche,"7 095,61 €",Fast Niche® Markets,1483820247,/site/fastniche.zip,/r/fn.tgz
pivotsense,"523 333,79 €",Pivotal Sense (ltd.),1483820006,/dl area/pivotsense.tgz,/r/ps.tgz
woldenheim,"11,77 €",Woldenheim GmbH,1483817526,/woldenheim/db-new.zip,/r/wh.tgz
aaa,"11,77 €"
woldenheim,"11,77 €",Woldenheim GmbH
newsmonster,"44,54 €",News Monster,1483820220,/mirror/nm/newsmonster.tgz,/r/nm.tgz
microtech,"33,07 €",MicroTech Industries (TODO: Inc.? LLC?),1483820232,/dl/mtech.tar.gz,/r/mt.tgz
fastniche,"7 095,61 €",Fast Niche® Markets,1483820247,/site/fastniche.zip,/r/fn.tgz
pivotsense,"43 333,79 €",Pivotal Sense (ltd.),1483820006,/dl area/pivotsense.tgz,/r/ps.tgz
woldenheim,"11,77 €",Woldenheim GmbH,1483817526,/woldenheim/db-new.zip,/r/wh.tgz
aaa,"11,77 €"
woldenheim,"11,77 €",Woldenheim GmbH
newsmonster,"44,54 €",News Monster,1483820220,/mirror/nm/newsmonster.tgz,/r/nm.tgz
microtech,"33,07 €",MicroTech Industries (TODO: Inc.? LLC?),1483820232,/dl/mtech.tar.gz,/r/mt.tgz
fastniche,"7 095,61 €",Fast Niche® Markets,1483820247,/site/fastniche.zip,/r/fn.tgz
pivotsense,"43 333,79 €",Pivotal Sense (ltd.),1483820006,/dl area/pivotsense.tgz,/r/ps.tgz
woldenheim,"11,77 €",Woldenheim GmbH,1483817526,/woldenheim/db-new.zip,/r/wh.tgz
aaa,"11,77 €"
woldenheim,"11,77 €",Woldenheim GmbH
newsmonster,"44,54 €",News Monster,1483820220,/mirror/nm/newsmonster.tgz,/r/nm.tgz
microtech,"33,07 €",MicroTech Industries (TODO: Inc.? LLC?),1483820232,/dl/mtech.tar.gz,/r/mt.tgz
fastniche,"7 095,61 €",Fast Niche® Markets,1483820247,/site/fastniche.zip,/r/fn.tgz
pivotsense,"43 333,79 €",Pivotal Sense (ltd.),1483820006,/dl area/pivotsense.tgz,/r/ps.tgz
woldenheim,"11,77 €",Woldenheim GmbH,1483817526,/woldenheim/db-new.zip,/r/wh.tgz
aaa,"11,77 €"
woldenheim,"11,77 €",Woldenheim GmbH
newsmonster,"44,54 €",News Monster,1483820220,/mirror/nm/newsmonster.tgz,/r/nm.tgz
microtech,"33,07 €",MicroTech Industries (TODO: Inc.? LLC?),1483820232,/dl/mtech.tar.gz,/r/mt.tgz
fastniche,"7 095,61 €",Fast Niche® Markets,1483820247,/site/fastniche.zip,/r/fn.tgz
pivotsense,"43 333,79 €",Pivotal Sense (ltd.),1483820006,/dl area/pivotsense.tgz,/r/ps.tgz
woldenheim,"11,77 €",Woldenheim GmbH,1483817526,/woldenheim/db-new.zip,/r/wh.tgz
aaa,"11,77 €"
"wol""de,nheim","11,77 €",Woldenheim GmbH
